S#,Date,Islamic Date,Blast Day Type,Blast Day Type clean,Holiday Type,Holiday Type clean,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Category helper,Location Sensitivity,Location Sensitivity helper,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Hour of Attack,AM / PM
82,Friday-December 21-2007,13 Thw al-Hijjah 1428 A.H,Holiday,Holiday,Eid-ul-azha,Public Holiday,NA,Charsadda ,34.1509,71.7359,KPK,Charsadda Jamiya Masjid ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Masjid,Civilian,Sunni,,60,,200,1,5 to 6 kg,NA,15,59,2007,,
83,Sunday-December 23-2007,13 Thw al-Hijjah 1428 A.H,Holiday,Holiday,Weekend,Weekend,6:00:00 PM,Swat,35.2227,72.4258,KPK,military convoy hit in mingora,Mobile,MOBILE,High,HIGH,Open,,Military,None,9,14,,23,1,NA,NA,12.76,54.968,2007,6,PM
84,Thursday-December 27-2007,17 Thw al-Hijjah 1428 A.H,Working Day,Working Day,,,5:10:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi Liaquat Bagh Park,Park/Ground,PARK/GROUND,Low,LOW,Open,attack on Benazir Bhutto,Government official,None,21,30,48,70,1,NA,Rawalpindi General hospital,10.21,50.378,2007,5,PM
85,Monday-January 7-2008,28 Thw al-Hijjah 1428 A.H,Working Day,Working Day,,,11:15:00 AM,Swat,35.2227,72.4258,KPK,infront of frontier house kabal,Military,MILITARY,High,HIGH,Open,Security forces ,Military,None,,,12,13,1,NA,NA,6.77,44.186,2008,11,AM
86,Thursday-January 10-2008,1 MuHarram 1429 A.H,Working Day,Working Day,,,11:40:00 AM,Lahore ,31.5451,74.3407,Punjab,Lahore High court ,Government,GOVERNMENT,High,HIGH,Open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the police officials outside the court,Police,None,24,26,73,80,1,15 kg,1.Mayo-Ganga ram hospital ,13.89,57.002,2008,11,AM
87,Tuesday-January 15-2008,6 MuHarram 1429 A.H,Working Day,Working Day,,,10:30:00 AM,Mohmand agency,32.9746,70.1456,FATA,checkpoint of security forces in Khapakh Kando near Ghalanai,Military,MILITARY,High,HIGH,Open,Frontier Constabulary,Military,None,1,1,,,1,NA,Ghalani hospital ,5.145,41.261,2008,10,AM
88,Thursday-January 17-2008,8 MuHarram 1429 A.H,Working Day,Working Day,,,6:00:00 PM/6:55PM,Peshawar,34.0043,71.5448,KPK,Mirza Qasim baig Imambargah Jangi Mohallah-kohati,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Imambargah,Religious,shiite,10,12,,25,1,3 kg explosive and 3kg ball bearings,1.Lady Reading hospital ,12.34,54.212,2008,6,PM
89,Friday-February 1-2008,23 MuHarram 1429 A.H,Working Day,Working Day,,,4:30:00 PM,North Waziristan,32.9746,70.1456,FATA,Kajhori checkpost north waziristan,Police,POLICE,High,HIGH,Open,Checkpost ,Police,None,5,7,13,15,1,NA,1.CMH bannu 2.MH Bannu,2.475,36.455,2008,4,PM
90,Monday-February 4-2008,26 MuHarram 1429 A.H.,Working Day,Working Day,,,7:24:00 AM/7:25AM/7:30 AM,Rawalpindi,33.6058,73.0437,Punjab,Infront of NLC office near GHQ Rwp,Mobile,MOBILE,High,HIGH,Open,bus carrying students and officials of army medical college-,Military,None,8,10,27,47,1,6-7kg,1.CMH 2.MH 3. DHQ,8.42,47.156,2008,7,AM
91,Tuesday-February 5-2008,27 MuHarram 1429 A.H,Working Day,Working Day,,,NA ,Quetta ,30.2095,67.0182,Baluchistan,Quetta Khilji Conlony,Park/Ground,PARK/GROUND,Low,LOW,Open,Khilji colony,Civilian,None,,1,,1,1,NA,NA,-2.37,27.734,2008,,
92,Saturday-February 9-2008,2 safar 1429 A.H.,Working Day,Working Day,,,NA ,Charsadda ,34.1509,71.7359,KPK,Nakai in charsadda,Residence,RESIDENCE,Low,LOW,Closed,Awami National Party meeting was in progress,Government Official,None,25,27,35,51,1,NA,1.Lady Reading Hospital 2. DHQ charsadda,7.935,46.283,2008,,
93,Monday-February 11-2008,4 safar 1429 A.H,Working Day,Working Day,,,12:55:00 PM,North Waziristan,32.9746,70.1456,FATA,Aidak village in mirali-near miranshah,Religious,RELIGIOUS,Low,LOW,Open,ANP gathring,Government official,None,6,10,9,13,1,NA,NA,2.245,36.041,2008,12,PM
94,Saturday-February 16-2008,9 safar 1429 A.H.,Working Day,Working Day,,,NA,Swat,35.2227,72.4258,KPK,Mingora-army media center on saidu sharif road,Military,MILITARY,High,HIGH,Closed,army media center and base near Gul Kadda,Military,None,2,3,14,18,1,NA,District headquarters hospital saidu sharif,12.725,54.905,2008,,
95,Saturday-February 16-2008,9 safar 1429 A.H.,Working Day,Working Day,,,evening,Kuram Agency ,35.2227,72.4258,FATA,PPP election office in Eidgah market of Parachinar bazar,Government,GOVERNMENT,High,HIGH,Closed,,Government official,None,38,47,109,110,1,NA,Agency headquarter hospital,12.725,54.905,2008,,
96,Monday-February 25-2008,18 safar 1429 A.H,Working Day,Working Day,,,2:45:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi-R.A bazar mall road Sadar-nadira suift center,Mobile,MOBILE,High,HIGH,Closed,near Surgeon-gernal car on signal,Military,None,,8,20,30,1,4-5kg,1.CMH 2.MH 3.Contonment hospital 4. rwp general hospital 5. DHQ hospital,14.47,58.046,2008,2,PM
97,Friday-February 29-2008,22 safar 1429 A.H.,Working Day,Working Day,,,8:00:00 PM,Swat,32.935,70.6688,KPK,Swat Mingora DSP Funeral,Park/Ground,PARK/GROUND,Low,LOW,Open,,Police,None,38,45,40,100,1,NA,1.Saidu Shrif hospital ,19.85,67.73,2008,8,PM
98,Saturday-March 1-2008,23 safar 1429 A.H.,Working Day,Working Day,,,NA,Bajaur Agency,34.8718,71.5249,FATA,Khar-jardar area,Mobile,MOBILE,High,HIGH,Open,,Military,None,,2,,23,1,NA,NA,19.375,66.875,2008,,
99,Sunday-March 2-2008,24 safar 1429 A.H.,Holiday,Holiday,Weekend,Weekend,11:00:00 AM,Dara Adam Khel,33.6854,71.5131,KPK,Dara adamkhel Jirga ,Park/Ground,PARK/GROUND,Low,LOW,Open,peace Jirga ,Anti-Militants,None,40,43,50,60,1,NA,1.Lady Reading Hospital 2.Hayatabad medical Complex,19.455,67.019,2008,11,AM
100,Tuesday-March 4-2008,26 safar 1429 A.H,Working Day,Working Day,,,1:05PM,Lahore ,31.5451,74.3407,Punjab,Navy war college mall road lahore,Military,MILITARY,High,HIGH,Closed,Navy college ,Military,None,4,8,15,24,2,NA,1.CMH 2.Service hospital,20.655,69.179,2008,1,PM
101,Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,Working Day,Working Day,,,9:15 AM to 9:20:00 AM,Lahore ,31.5451,74.3407,Punjab,FIA building Temple road near The Mall-near regal chowk,Government,GOVERNMENT,High,HIGH,Closed,,Government Official,None,26,31,175,200,1,50kg,1.Ganga Ram Hospita 2.Mayo Hospital ,21.295,70.331,2008,9,AM
102,Tuesday-March 11-2008,3 Raby` al-awal 1429 A.H,Working Day,Working Day,,,9:20:00 AM,Lahore ,31.5451,74.3407,Punjab,Bungalow no 83/F Model Town-an advertising agency office,Residence,RESIDENCE,Low,LOW,Closed,,Civilian,None,3,6,,12,1,30kg ,Ganga Ram hospital ,21.295,70.331,2008,9,AM
103,Monday-March 17-2008,9 Raby` al-awal 1429 A.H.,Working Day,Working Day,,,NA,Swat,35.2227,72.4258,KPK,Mingora police Lines ,Police,POLICE,High,HIGH,Closed,,Police,None,2,3,5,7,1,NA,Saidu Sharif hospital,22.5,72.5,2008,,
104,Thursday-March 20-2008,12 Raby` al-awal 1429 A.H.,Holiday,Holiday,Eid Milad un-Nabi,Public Holiday,3:00:00 PM,South Waziristan,32.3202,69.8597,FATA,Army Camp at Zari noor-Wana,Military,MILITARY,High,HIGH,Closed,,Military,None,,5,9,11,1,NA,Military Hospital ,18.655,65.579,2008,3,PM
105,Thursday-May 1-2008,25 Raby` al-THaany 1429 A.H,Holiday,Holiday,Labour Day,Public Holiday,Thursday Morning,Khyber Agency,34.0211,71.2874,FATA,Takia-Bar Qambarkhel Mosque,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Sunni,,2,17,30,1,NA,NA,28.985,84.173,2008,,
106,Tuesday-May 6-2008,1 Jumaada al-awal 1429 A.H,Working Day,Working Day,,,8:40:00 AM/9:30:00 AM,Bannu,32.935,70.6688,KPK,Bannu police  check post,Police,POLICE,High,HIGH,Open,,Police,None,3,7,10,15,1,NA,1.DHQ 2.CMH,28.62,83.516,2008,8,AM
107,Friday-May 9-2008,4 Jumaada al-awal 1429 A.H,Working Day,Working Day,,,Friday Night,Swat,35.2227,72.4258,KPK,Mingora police Station ,Police,POLICE,High,HIGH,Closed,,Police,None,,1,3,4,1,NA,1.district headquarters hospital saidu sharif ,23.985,75.173,2008,,
108,Sunday-May 18-2008,13 Jumaada al-awal 1429 A.H.,Holiday,Holiday,Weekend,Weekend,8:00:00 PM,Mardan,34.1982,72.0444,KPK,Military run bakery near a punjab regiment center in Mardan cantt,Military,MILITARY,High,HIGH,Closed,,Military,None,11,13,23,25,1,NA,1.CMH 2.District Headqurtar Hospital ,29.61,85.298,2008,8,PM
109,Monday-June 2-2008,28 Jumaada al-awal 1429 A.H.,Working Day,Working Day,,,1:00:00 PM/1:05PM,Islamabad,33.718,73.0718,Capital,Islamabad Danish Embassy,Foreign,FOREIGN,High,HIGH,Closed,,Foreigner,Jews,,8,25,30,1,50kg,1.PIMS 2.Federal Government Service Hospital,26.5,79.7,2008,1,PM
110,Sunday-July 6-2008,3 Rajab 1429 A.H.,Holiday,Holiday,Weekend,Weekend,7:50:00/7:45:00 PM,Islamabad,33.718,73.0718,Capital,Melody market near lal masjid,Market,MARKET,Low,LOW,Open,,Police,None,15,20,20,47,1,5 kg,1.PIMS 2.Poly Clinic 3.Federal Government Service Hospital,26.86,80.348,2008,7,PM
111,Sunday-July 13-2008,10 Rajab 1429 A.H,Holiday,Holiday,Weekend,Weekend,NA,D.I Khan,31.8238,70.9095,KPK,Shiite gathering -Near kotli imam Hussain,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Shiite,,1,3,4,1,NA,NA,31.075,87.935,2008,,
112,Wednesday-August 13-2008,12 SHa`baan 1429 A.H,Working Day,Working Day,,,11:35:00 PM,Lahore ,31.5451,74.3407,Punjab,neaar Iqbal Town police Station Lahore at dubai CHOWK SIGNAL,Police,POLICE,High,HIGH,Open,,Police,None,8,9,20,35,1,NA,1.Sheikh Zahid Hospital,25.835,78.503,2008,11,PM
113,Tuesday-August 19-2008,18 SHa`baan 1429 A.H.,Working Day,Working Day,,,1:30:00 PM,D.I Khan,31.8238,70.9095,KPK,Distric headquarter hospital,Hospital,HOSPITAL,Low,LOW,Closed,during the shiite protest against the death of shiite govt official,Civilian,Shiite,30,32,33,55,1,NA,1.Combined Military Hospital ,31.495,88.691,2008,1,PM
114,Thursday-August 21-2008,20 SHa`baan 1429 A.H,Working Day,Working Day,,,2:37:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Wah Cant Pakistn Ordinance Factories ,Military,MILITARY,High,HIGH,Closed,,Government Official,None,70,100,67,200,2,NA,pof hospital,28.89,84.002,2008,2,PM
115,Saturday-August 23-2008,22 SHa`baan 1429 A.H,Working Day,Working Day,,,7:45:00 AM,Swat,35.2227,72.4258,KPK,Charbagh checkpost,Police,POLICE,High,HIGH,Open,,Police,None,7,15,,20,1,100Kg,1.Saidu sharif hospital ,25.69,78.242,2008,7,AM
116,Friday-August 29-2008,28 SHa`baan 1429 A.H,Working Day,Working Day,,,7:00:00 AM,Kohat,33.5833,71.4333,KPK,army base camp/emergency center near Kohat tunnel,Military,MILITARY,High,HIGH,Closed,,Military,None,2,5,25,39,1,NA,1.CMH Kohat,27.705,81.869,2008,7,AM
117,Saturday-September 6-2008,6 RamaDHaan 1429 A.H,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,Zangali Checkpost on kohat road,Police,POLICE,High,HIGH,Open,,Police,None,30,35,70,90,1,150Kg,Lady Reading Hospital-Khyber teaching-Hayatabad complex,23.44,74.192,2008,,
118,Tuesday-September 16-2008,16 RamaDHaan 1429 A.H,Working Day,Working Day,,,Half hour after aftar,Swat,35.2227,72.4258,KPK,Kabal check post ,Police,POLICE,High,HIGH,Open,,Police,None,2,10,,25,1,NA,NA,25.95,78.71,2008,,
119,Saturday-September 20-2008,20 RamaDHaan 1429 A.H,Working Day,Working Day,,,NA,North waziristan,32.9746,70.1456,KPK,military convoy on Miranshah road near Norak,Mobile,MOBILE,High,HIGH,Open,,Military,None,7,17,5,20,1,NA,1.CMH Bannu hospital,22.06,71.708,2008,,
120,Saturday-September 20-2008,20 RamaDHaan 1429 A.H,Working Day,Working Day,,,8:05:00 PM,Islamabad,33.718,73.0718,Capital,Islamabad Marriott Hotal ,Hotel,HOTEL,Medium,MEDIUM,Closed,,Foreigner,None,40,60,200,300,1,1000 Kg,1.Poly Clinic  2. PIMS,24.41,75.938,2008,8,PM
121,Monday-September 22-2008,22 RamaDHaan 1429 A.H,Working Day,Working Day,,,NA,Swat,35.2227,72.4258,KPK,military security checkpost in Madian Town swat,Military,MILITARY,High,HIGH,Open,,Military,None,9,13,2,3,1,NA,NA,21.005,69.809,2008,,
122,Wednesday-September 24-2008,24 RamaDHaan 1429 A.H,Working Day,Working Day,,,NA,Quetta,30.2095,67.0182,Baluchistan,Quetta cantt military Check post ,Military,MILITARY,High,HIGH,Open,,Military,None,1,14,22,25,1, 8 Kg,1.CMH Hospital 2.Civil Hospital,23.225,73.805,2008,,
123,Friday-October 3-2008,3 SHawwal 1429 A.H,Holiday,Holiday,Eid-ul-Fitar,Public Holiday,4:00:00 PM,Peshawar,34.0043,71.5448,KPK,wali bagh charsadda,Residence,RESIDENCE,Medium,MEDIUM,Closed,,Government Official,None,4,5,,18,1,NA,1.District Hospital Charsadda ,29.445,85.001,2008,4,PM
124,Monday-October 6-2008,6 SHawwal 1429 A.H,Working Day,Working Day,,,4:45:00 PM,Bhakkar ,31.6216,71.065,Punjab,Bhakkar Rasheed Noranni MNA house,Residence,RESIDENCE,Medium,MEDIUM,Closed,,Government Official,None,22,26,60,100,1,NA,1.Nishtar Hospital Multan,29.025,84.245,2008,4,PM
125,Thursday-October 9-2008,9 SHawwal 1429 A.H,Working Day,Working Day,,,12:45:00 PM,Islamabad,33.718,73.0718,Capital,Islamabad Police line-anti terrorist squad building,Police,POLICE,High,HIGH,Closed,lawmakers gathered for a secret security briefing,Police,None,,,6,12,1,60Kg,1. PIMS 2.Federal Government Services,24.17,75.506,2008,12,PM
126,Thursday-October 9-2008,9 SHawwal 1429 A.H,Working Day,Working Day,,,12:55:00 PM,Khyber Agency,34.0211,71.2874,FATA,near michni post in landi kotal,Mobile,MOBILE,High,HIGH,Open,,Foreigner,Christian,,0,,0,1,NA,,24.47,76.046,2008,12,PM
127,Friday-October 10-2008,10 SHawwal 1429 A.H,Working Day,Working Day,,,NA,Orakzai Agency,32.9746,70.1456,FATA,anti-taliban Jirga-Khadezai area in upper Orakzai Agency,Park/Ground,PARK/GROUND,Low,LOW,Open,,Anti-Militants,Sunni,40,85,90,200,1,8 ft deep crater,1.Kohat Dvisional Headquarters Hospital  2.Gahluj hospital 3.Hospitals in Hangu and Kohat ,20.58,69.044,2008,,
128,Thursday-October 16-2008,16 SHawwal 1429 A.H,Working Day,Working Day,,,NA,Swat,35.2227,72.4258,KPK,Mingora police Station ,Police,POLICE,High,HIGH,Closed,,Police,None,,4,,27,1,NA,NA,19.835,67.703,2008,,
129,Sunday-October 26-2008,26 SHawwal 1429 A.H,Holiday,Holiday,Weekend,Weekend,9:45:00 PM,Mohmand Agency,32.9746,70.1456,FATA,Mohmad Agency-naqi Checkpost ,Military,MILITARY,High,HIGH,Open,,Military,None,11,10,,5,1,NA,1.Ghalaanai Hospital ,15.35,59.63,2008,9,PM
130,Wednesday-October 29-2008,29 SHawwal 1429 A.H.,Working Day,Working Day,,,2:15:00 PM,Bannu,32.9861,70.6042,KPK,Militay checkpost cantoment area bannu,Military,MILITARY,High,HIGH,Open,,Military,None,,,,14,1,NA,1.Combined Military Hospital ,22.09,71.762,2008,2,PM
131,Friday-October 31-2008,2 Thw al-Qi`dah 1429 A.H,Working Day,Working Day,,,1:30:00 PM,Mardan,34.1982,72.0444,KPK,outside the office of Mardan DIG in malakand mardan road,Police,POLICE,High,HIGH,Closed,,Police,None,9,10,21,25,1,NA,district headquarter hospital,20.895,69.611,2008,1,PM
132,Sunday-November 2-2008,5 Thw al-Qi`dah 1429 A.H,Holiday,Holiday,Weekend,Weekend,9:00:00 AM,South Waziristan,32.3202,69.8597,FATA,Zalai FC checkpost wana,Military,MILITARY,High,HIGH,Open,,Military,None,,8,,8,1,,,21.735,71.123,2008,9,AM
133,Tuesday-November 4-2008,6 Thw al-Qi`dah 1429 A.H,Working Day,Working Day,,,,Hangu,33.5351,71.0713,KPK,Doabba-checkpost near surpul on hangu tal road,Police,POLICE,High,HIGH,Open,,Police,None,,7,,4,1,40 kg,CMH Hangu,21.11,69.998,2008,,
134,Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,Working Day,Working Day,,,NA,Swat,35.2227,72.4258,KPK,Swat Police check post ,Police,POLICE,High,HIGH,Open,,Police,None,,2,,10,1,NA,Syedo Shrif Hospital ,16.485,61.673,2008,,
135,Thursday-November 6-2008,8 Thw al-Qi`dah 1429 A.H,Working Day,Working Day,,,NA,Bajaur Agency,34.8718,71.5249,FATA,Salarzai Jirga  in batmali area-Bajaur,Park/Ground,PARK/GROUND,Low,LOW,Open,tribes were discussing formation of lashkar,Anti-Militants,Sunni,16,23,31,45,1,NA,NA,16.705,62.069,2008,,
136,Tuesday-November 11-2008,13 Thw al-Qi`dah 1429 A.H,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,Qayyum Stadium ,Park/Ground,PARK/GROUND,Low,LOW,Open,Sport Stadium,Government Official,None,3,4,13,20,1,7 or 8Kg,1.Lady Reading Hospital 2.Combined Military Hospital ,19.17,66.506,2008,,
137,Wednesday-November 12-2008,14 Thw al-Qi`dah 1429 A.H,Working Day,Working Day,,,10:00:00 AM,Charsadda,34.1509,71.7359,KPK,attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder,Military,MILITARY,High,HIGH,Closed,,Military,None,,7,10,12,1,NA,NA,19.165,66.497,2008,10,AM
138,Monday-November 17-2008,19 Thw al-Qi`dah 1429 A.H.,Working Day,Working Day,,,11:15:00 AM,Swat,35.2227,72.4258,KPK,Security checkpost in gashgur area of  Khawazakhela,Military,MILITARY,High,HIGH,Open,,Military,None,,10,,8,1,NA,NA,14.075,57.335,2008,11,AM
139,Thursday-November 20-2008,22 Thw al-Qi`dah 1429 A.H.,Working Day,Working Day,,,during maghrib prayer,Bajaur Agency,34.8718,71.5249,FATA,Mosque in Badaan area of mamund,Religious,RELIGIOUS,Medium,MEDIUM,Closed,maghrib prayer,Religious,Sunni,,9,,,1,,District hospital Bajur,14.17,57.506,2008,,
140,Friday-November 28-2008,30 Thw al-Qi`dah 1429 A.H.,Working Day,Working Day,,,NA,Buner,34.3943,72.6151,KPK,near Tarezi Chowk on the main Bannu-Kohat road.,Mobile,MOBILE,High,HIGH,Open,,Police,,,9,,16,1,NA,NA,16.61,61.898,2008,,
141,Monday-December 1-2008,3 Thw al-Hijjah 1429 A.H,Working Day,Working Day,,,Monday Morning,Swat,35.2227,72.4258,KPK,sangota checkpost in mingora,Military,MILITARY,High,HIGH,Open,,Military,None,,10,,50,1,NA,NA,15.45,59.81,2008,,
142,Wednesday-December 3-2008,5 Thw al-Hijjah 1429 A.H,Working Day,Working Day,,,NA,Charsadda,34.1509,71.7359,KPK, Army Convoy passing from shabqadar,Mobile,MOBILE,High,HIGH,Open,Army convoy ,Military,None,5,6,8,10,1,NA,NA,15.815,60.467,2008,,
143,Friday-December 5-2008,8 Thw al-Hijjah 1429 A.H,Working Day,Working Day,,,12:30:00pm,Orakzai Agency,32.9746,70.1456,KPK,bazar of Kalaia area of lower Orakzai angency,Market,MARKET,Low,LOW,Open,,Civilian,None,6,10,8,15,1,NA,Kalidya Hospital ,12.465,54.437,2008,12,PM
144,Tuesday-December 9-2008,11 Thw al-Hijjah 1429 A.H,Working Day,Working Day,,,NA,Buner,34.3943,72.6151,KPK,in Dagar-an area of Buner ,Park/Ground,PARK/GROUND,Low,LOW,Open,,Government Official,None,,1,,4,1,NA,NA,14.39,57.902,2008,,
145,Sunday-December 28-2008,,Holiday,Holiday,Weekend,Weekend,10:30:00 AM,Buner,34.3943,72.6151,KPK,Buner Poling station-Infront of govt high school Shalbandi,Government,GOVERNMENT,High,HIGH,Open,,Government official,None,34,37,,16,,,,11.41,52.538,2008,10,AM
146,Sunday-January 4-2009,7 MuHarram 1430 A.H,Holiday,Holiday,Weekend,Weekend,7:30:00 PM,D.I Khan,31.8238,70.9095,KPK,multan road in Deara Ismail Khan,Mobile,MOBILE,High,HIGH,Open,muharram ul haram rally,Police,,7,10,21,25,1, 10 kg ,Poly clinic multan ,11.445,52.601,2009,7,PM
147,Sunday-January 4-2009,7 MuHarram 1430 A.H,Holiday,Holiday,Weekend,Weekend,,Bannu,32.9861,70.6042,KPK,near a check-post in Officers’ Colony,Police,POLICE,High,HIGH,open,,Police,,,1,,2,1,,,8.275,46.895,2009,,
148,Friday-January 23-2009,26 MuHarram 1430 A.H. ,Working Day,Working Day,,,,Swat,35.3833,72.1833,KPK,near Mingora town,Military,MILITARY,High,HIGH,open,,Military,,,2,11,25,1,,,12.95,55.31,2009,,
149,Thursday-February 5-2009,10 safar 1430 A.H.,Working Day,Working Day,,,6.35 pm,D.G Khan ,30.05,70.6333,Punjab,Outside Jhar ali Imambargah-in muslim town area ,Religious,RELIGIOUS,Medium,MEDIUM,Open,,Religious,Shiite,30,32,48,55,1,NA,Local Hospital In DG Khan/Nishtar Hospital,15.105,59.189,2009,6,PM
150,Thursday-February 5-2009,10 safar 1430 A.H.,Working Day,Working Day,,,,Swat,35.3833,72.1833,KPK,near a Police station in the Mingora town of Swat District,Police,POLICE,High,HIGH,open,,Police,,,12,,,,,,9.435,48.983,2009,,
151,Friday-February 6-2009,11 safar 1430 A.H,Working Day,Working Day,,,8.15 am,Khyber Agency,34.0211,71.2874,FATA,Peshawar-Torkham Highway near Teddi Bazar in Jamrood ,Mobile,MOBILE,Low,LOW,Open,struck the trailer when signalled to stop,Foreigner,Christian,,0,,7,1,NA,Jamrud Civil Hospital,10.32,50.576,2009,8,AM
152,Monday-February 9-2009,14 safar 1430 A.H,Working Day,Working Day,,,NA,Bannu,32.9861,70.6042,KPK,Police checkpost on Baran Bridge,Police,POLICE,High,HIGH,Open,NA,Police,None,,5,17,18,1,NA,DHQ Hospital Bannu  / Peshawar Hospital,14.585,58.253,2009,,
153,Friday-February 20-2009,25 safar 1430 A.H,Working Day,Working Day,,,,D.I Khan ,31.8238,70.9095,KPK,funeral procession on  Dera Bannu road-near shobra hotel,Park/Ground,PARK/GROUND,Low,LOW,Open,"Funeral Procession of
Imambargah Caretaker",Civilian,Shiite,30,36,150,200,1,NA,"1. DHQ D.I.Khan
2. Nishtar Hospital
3. Lady Reading Pesh",15.555,59.999,2009,,
154,Saturday-February 21-2009,26 safar 1430 A.H,Working Day,Working Day,,,,Bannu,32.9861,70.6042,KPK,Lakki town,Police,POLICE,High,HIGH,Open,NA,Police,None,,2,,,,,,14.42,57.956,2009,,
155,Monday-February 23-2009,28 safar 1430 A.H.,Working Day,Working Day,,,NA,Bannu,32.9861,70.6042,KPK,Bannu miranshah road-House of DSP,Residence,RESIDENCE,Medium,MEDIUM,Closed,,Police,None,,1,,2,,NA,NA,15.7,60.26,2009,,
156,Monday-March 2-2009,5 Raby` al-awal 1430 A.H,Working Day,Working Day,,,NA,Pishin,30.5833,67,Baluchistan,Killi Karbala village in Pishin district,Educational,EDUCATIONAL,Low,LOW,Closed,,Government Official,Sunni,5,6,5,12,1,NA,Civil hospital Quetta,18.76,65.768,2009,,
157,Wednesday-March 11-2009,14 Raby` al-awal 1430 A.H,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,sarki gate area in Nimak Mandi area-Peshawar,Market,MARKET,Low,LOW,Open,"Inauguration  of an 
event by Sr Minister",Government Official,None,4,5,,6,1,NA,Lady Reading Hospital ,18.375,65.075,2009,,
158,Monday-March 16-2009,19 Raby` al-awal 1430 A.H,Working Day,Working Day,,,,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi cantt-Pirwadhi bus stand,Transport,TRANSPORT,Low,LOW,Open,,Civilian,None,12,15,16,18,1,10 kg ,"DHQ Hospital RWP
2. Benazir Hospital RWP",20.875,69.575,2009,,
159,Monday-March 23-2009,26 Raby` al-awal 1430 A.H,Holiday,Holiday,Pakistan Day,Public Holiday,NA,Islamabad,33.718,73.0718,Capital,sitara maket-special branch police gate,Police,POLICE,High,HIGH,Open,,Police,None,,2,,8,1,NA,NA,18.575,65.435,2009,,
160,Thursday-March 26-2009,29 Raby` al-awal 1430 A.H,Working Day,Working Day,,,8:30:00 AM,Tank,32.226,70.3761,KPK,road side restaurant opposite to military base in Jandola,Market,MARKET,Low,LOW,Open,members of peace committe -members of Turkestan group,Anti-Militants,Sunni,7,15,,25,1,NA,Civil Hospital Tank,14.305,57.749,2009,8,AM
161,Friday-March 27-2009,30 Raby` al-awal 1430 A.H,Working Day,Working Day,,,NA,Khyber Agency,34.0211,71.2874,FATA,Mosque in Jamrood Tehsil on peshawar-turkham highway,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Sunni,70,76,100,175,1,NA,Peshwar Hospitals,18.595,65.471,2009,,
162,Monday-March 30-2009,3 Raby` al-THaany 1430 A.H,Working Day,Working Day,,,NA,North waziristan,32.9746,70.1456,FATA,Mirzail checkpost-Miranshah,Mobile,MOBILE,High,HIGH,Open,security forces convoy was passing from checkpost,Military,None,,4,,9,1,NA,NA,14.415,57.947,2009,,
163,Saturday-April 4-2009,8 Raby` al-THaany 1430 A.H,Working Day,Working Day,,,7.35 PM/7:37 PM,Islamabad,33.718,73.0718,Capital,"Margala Road Check Post
Islamabad",Military,MILITARY,High,HIGH,Open,NA,Military,None,,8,4,7,1,8Kg,"PIMS
Polyclinic ",20.17,68.306,2009,7,PM
164,Saturday-April 4-2009,8 Raby` al-THaany 1430 A.H,Working Day,Working Day,,,,North waziristan,32.9746,70.1456,FATA,mirnshah security checkpost,Mobile,MOBILE,High,HIGH,Open,military convoy was passing from checkpost,Military,None,,8,,39,1,NA,NA,15.57,60.026,2009,,
165,Sunday-April 5-2009,9 Raby` al-THaany 1430 A.H,Holiday,Holiday,Weekend,Weekend,12:30:00 PM,Chakwal ,32.9303,72.8556,Punjab,Imambargah in Chakwal ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Shia Religious Gathering ,Religious,Shiite,22,27,40,60,1,NA,NA,20.555,68.999,2009,12,PM
166,Wednesday-April 15-2009,19 Raby` al-THaany 1430 A.H,Working Day,Working Day,,,Evening,Charsadda,34.1509,71.7359,KPK,"Harichand Police Post-
Charsadda",Police,POLICE,High,HIGH,Open,NA,Police,None,16,18,5,10,1,100kg,Charsadda DHQ/Tangi Hospital/JamalAbad hospital/Peshawar Hospital,,,2009,,
